review_idx,true_label,dyslexic_word,top_suggestion,all_suggestions,intent_matched,rule_id,rule_description,context
0,POSITIVE,Wirey,Wire,Wire | Wired | Wires | Wiley | Wiry,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...Though several scenes of Wirey Spindell can be described as ...
0,POSITIVE,Spindell,Spin dell,Spin dell,False,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,"...hough several scenes of Wirey Spindell can be described as ""over the..."
0,POSITIVE,br,BR,BR | Br | by | or | be,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...of near-taboo twisted comedy.<br /><br />Wirey Spindell is a g...
0,POSITIVE,br,BR,BR | Br | by | or | be,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...r-taboo twisted comedy.<br /><br />Wirey Spindell is a great f...
0,POSITIVE,Wirey,Wire,Wire | Wired | Wires | Wiley | Wiry,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...oo twisted comedy.<br /><br />Wirey Spindell is a great film with...
0,POSITIVE,Spindell,Spin dell,Spin dell,False,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...sted comedy.<br /><br />Wirey Spindell is a great film with great di...
0,POSITIVE,dialog,dialogue,dialogue,False,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake. ‘dialog’ is American English.,...ll is a great film with great dialog. I wouldn't say that this fil...
0,POSITIVE,br,BR,BR | Br | by | or | be,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...he film is on my top 10 list.<br /><br />If you can look beyon...
0,POSITIVE,br,BR,BR | Br | by | or | be,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...m is on my top 10 list.<br /><br />If you can look beyond it's...
0,POSITIVE,it's,its,its,False,IT_IS,Did you mean “its” (possessive pronoun) instead of ‘it’s’ (short for ‘it is’)?,...><br />If you can look beyond it's occasional offensiveness and ...
1,NEGATIVE,br,BR,BR | Br | by | or | be,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...ie Reynolds and Eddie Fisher.<br /><br />I get angry at TCM fo...
1,NEGATIVE,br,BR,BR | Br | by | or | be,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...nolds and Eddie Fisher.<br /><br />I get angry at TCM for show...
1,NEGATIVE,Muther,Mother,Mother | Luther | Mather | Musher | Mutter,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,"... good idea to remake Bachelor Muther, filling it with some lame so..."
1,NEGATIVE,ne,né,né | me | no | be,False,NE,"Did you mean “né”, “me”, “no”, “be”?",...e remake to give us something ne...
2,POSITIVE,wanna,want to,want to,False,WANNA,The word ‘wanna’ is informal.,"...ts of its genre. It makes you wanna cry, it makes you laugh, it d..."
2,POSITIVE,disgust,disgusts,disgusts,False,IT_VBZ,"After ‘it’, use the third-person verb form “disgusts”.","...a cry, it makes you laugh, it disgust you, it makes you angry etc. ..."
2,POSITIVE,br,BR,BR | Br | by | or | be,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,"...you, it makes you angry etc. <br /><br />The topic of the stor..."
2,POSITIVE,br,BR,BR | Br | by | or | be,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...t makes you angry etc. <br /><br />The topic of the story is f...
2,POSITIVE,coud,could,could | cold | coup | cloud | cord,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...tions between characters what coud be considered not to be in th...
2,POSITIVE,uther,Uther,Uther | other | Luther | ether | utter,False,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,"...ore sophisticated, but on the uther ha..."
3,POSITIVE,actioner,actioned,actioned,False,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,"...rt for a B-Movie Martial Arts actioner. Ian Jacklin, a former North ..."
3,POSITIVE,himslef,himself,himself,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,"...pion, is the lead and acquits himslef well in the action scenes. Th..."
3,POSITIVE,br,BR,BR | Br | by | or | be,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,"...c Titan, rent this movie now!<br /><br />Renee Griffin is also..."
3,POSITIVE,br,BR,BR | Br | by | or | be,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,"...n, rent this movie now!<br /><br />Renee Griffin is also notew..."
3,POSITIVE,attitu,attitude,attitude | attire | attic | attics | Attica,False,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...his film. She starts off with attitu...
4,POSITIVE,remeber,remember,remember,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...song at the drop of a hat!! I remeber getting to stay up late to wa...
4,POSITIVE,allways,always,always | hallways | allays | all ways,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,"...two to three times a year. We allways referred to it as ""Giant Robo..."
4,POSITIVE,thay,that,that | they | than | Thai | hay,False,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,"...ompared to today's standards, thay were perfect for this movie's..."
4,POSITIVE,I'v,I've,I've,False,PERS_PRON_CONTRACTION,Did you mean “I've”?,...others. It's been years since I'v...
5,NEGATIVE,br,BR,BR | Br | by | or | be,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,"...ll not want to miss this one.<br /><br />For one thing, forget..."
5,NEGATIVE,br,BR,BR | Br | by | or | be,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,"... want to miss this one.<br /><br />For one thing, forget the V..."
5,NEGATIVE,NO body,NObody,NObody,False,ANY_BODY,Did you mean “NObody”?,"... thing, forget the VHS cover. NO body in this movie looks that attr..."
5,NEGATIVE,ie,i.e.,i.e. | IE | in | is | I,False,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,"... movie looks that attractive (ie, the Indian girl). Someone el..."
5,NEGATIVE,br,BR,BR | Br | by | or | be,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...iting thing about this movie.<br /><br />To put ...
5,NEGATIVE,br,BR,BR | Br | by | or | be,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...thing about this movie.<br /><br />To put ...
6,NEGATIVE, but,", but",", but",False,COMMA_COMPOUND_SENTENCE_2,Use a comma before ‘but’ if it connects two independent clauses (unless they are closely connected and short).,...Had never heard of its release but the three reviews gave it fiv...
6,NEGATIVE,br,BR,BR | Br | by | or | be,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...man movies I bought a copy...<br /><br />Have to say that I wa...
6,NEGATIVE,br,BR,BR | Br | by | or | be,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...vies I bought a copy...<br /><br />Have to say that I was not ...
6,NEGATIVE,br,BR,BR | Br | by | or | be,True,MORFOLOGIK_RULE_EN_GB,Possible spelling mistake found.,...surprisingly short on laughs.<br /><br />I wanted to like this...
